id;codigo_postal;poblacion;provincia_id
472 ;01439;Sendadiano;1
473 ;01439;Tortura;1
474 ;01439;Urbina Basabe;1
475 ;01439;Urbina Eza;1
476 ;01439;Uribarri Kuartango;1
477 ;01439;Villamanca;1
478 ;01440;Izarra;1
479 ;01440;Urkabustaiz;1
480 ;01449;Abezia;1
481 ;01449;Abornikano;1
482 ;01449;Apregindana;1
483 ;01449;Beluntza;1
484 ;01449;Goiuri-ondona;1
485 ;01449;Larrazketa;1
486 ;01449;Oiardo;1
487 ;01449;Untza-apregindana;1
488 ;01449;Unza-apreguindana;1
489 ;01449;Uzkiano;1
490 ;01450;Baranbio;1
491 ;01450;Inoso;1
492 ;01450;LekamaÑa;1
493 ;01450;Lezama;1
494 ;01450;Ziorraga;1
495 ;01468;Aloria;1
496 ;01468;ArtomaÑa;1
497 ;01468;Delika;1
498 ;01468;Larrinbe;1
499 ;01468;Saratxo;1
500 ;01468;Tertanga;1
501 ;01470;Amurrio;1
502 ;01470;Etxegoien;1
503 ;01474;Artziniega;1
504 ;01476;Aiara;1
505 ;01476;Arespalditza;1
506 ;01476;Ayala;1
507 ;01476;Respaldiza;1
508 ;01477;AÑes;1
509 ;01477;Beotegi;1
510 ;01477;Costera;1
511 ;01477;Erbi;1
512 ;01477;Kexaa;1
513 ;01477;Lejarzo;1
514 ;01477;Lexartzu;1
515 ;01477;Lujo;1
516 ;01477;Luxo;1
517 ;01477;Menagarai-beotegi;1
518 ;01477;Menoio;1
519 ;01477;Opellora;1
520 ;01477;Ozeka;1
521 ;01477;Quejana;1
522 ;01477;Retes De Llanteno;1
523 ;01477;Zuaza;1
524 ;01477;Zuhatza;1
525 ;01478;Campijo;1
526 ;01478;Erretes Tudela;1
527 ;01478;Gordeliz;1
528 ;01478;Llanteno;1
529 ;01478;Mendieta;1
530 ;01478;Retes De Tudela;1
531 ;01478;Santa Koloma;1
532 ;01478;Sojo;1
533 ;01478;Sojoguti;1
534 ;01478;Soxo;1
535 ;01478;Soxoguti;1
536 ;01479;AgiÑaga;1
537 ;01479;Izoria;1
538 ;01479;Madaria;1
539 ;01479;MaroÑo;1
540 ;01479;Murga;1
541 ;01479;Olabezar;1
542 ;01479;Salmanton;1
543 ;01510;Betolaza;1
544 ;01510;Erretana;1
545 ;01510;Gamarra Gutxia;1
546 ;01510;Gamarra Menor;1
547 ;01510;Luko;1
548 ;01510;MiÑano Mayor;1
549 ;01510;MiÑano Menor;1
550 ;01510;MiÑao;1
551 ;01510;MiÑao Gutxia;1
552 ;01510;Urbina;1
553 ;01510;Ziriano;1
554 ;01520;Amarita;1
555 ;01520;Arrazua-ubarrundia;1
556 ;01520;Arroiabe;1
557 ;01520;Arzubiaga;1
558 ;01520;Durana;1
559 ;01520;Landa;1
560 ;01520;Langara Ganboa;1
561 ;01520;Mendibil;1
562 ;01520;Nanclares De Ganboa;1
563 ;01520;Ullibarri-arrazua;1
564 ;01520;Ullibarri-gamboa;1
565 ;01520;Zurbano;1
566 ;01520;Zurbao;1
567 ;02000;Albacete;2
568 ;02001;Albacete;2
569 ;02002;Albacete;2
570 ;02003;Albacete;2
571 ;02004;Albacete;2
572 ;02005;Albacete;2
573 ;02006;Albacete;2
574 ;02007;Albacete;2
575 ;02008;Albacete;2
576 ;02049;Aguas Nuevas;2
577 ;02049;Albacete;2
578 ;02070;Albacete;2
579 ;02071;Albacete;2
580 ;02080;Albacete;2
581 ;02100;Tarazona De La Mancha;2
582 ;02110;"Gineta, La";2
583 ;02110;"Grajuela, La";2
584 ;02120;PeÑas De San Pedro;2
585 ;02124;Alcadozo;2
586 ;02124;Casablanca;2
587 ;02124;Casasola;2
588 ;02124;"Herreria, La";2
589 ;02124;"Navazuela, La";2
590 ;02124;"Noguera, La";2
591 ;02125;Ayna;2
592 ;02125;"Ginete, El (ayna)";2
593 ;02125;Royo Odrea;2
594 ;02127;Berro;2
595 ;02127;Burrueco;2
596 ;02127;Casa CaÑete;2
597 ;02127;Fuenlabrada;2
598 ;02127;Navalengua;2
599 ;02127;"Sahuco, El";2
600 ;02127;"Solana, La";2
601 ;02129;Campillo De La Virgen;2
602 ;02129;Fontanar De Las ViÑas;2
603 ;02129;"Fuensanta, La";2
604 ;02129;Fuente Del Pino;2
605 ;02129;"Molata, La";2
606 ;02129;"Molinar, El";2
607 ;02129;"Pocicos, Los";2
608 ;02129;"Royo, El";2
609 ;02129;Santa Ana (fuente Del Pino);2
610 ;02130;Bogarra;2
611 ;02136;Paterna De Madera;2
612 ;02137;Arteaga;2
613 ;02137;Batan Del Puerto;2
614 ;02137;Casa Rosa;2
615 ;02137;"Catalmerejos, Los";2
616 ;02137;Cortijo De Tortas;2
617 ;02137;Rio Madera;2
618 ;02139;"Casas De Haches, Las";2
619 ;02139;CaÑadas De Haches Abajo;2
620 ;02139;CaÑadas De Haches Arriba;2
621 ;02139;Dehesa Del Val;2
622 ;02139;"Dehesa, La (ayna)";2
623 ;02139;"Griego, El";2
624 ;02139;"Mohedas, Las";2
625 ;02139;Moriscote;2
626 ;02139;Potiche;2
627 ;02139;"Sarguilla, La";2
628 ;02139;"Villarejo, El";2
629 ;02140;Albacete;2
630 ;02140;"Anguijes, Los";2
631 ;02140;"Salobral, El";2
632 ;02141;Pozohondo;2
633 ;02142;Mullidar;2
634 ;02142;Nava De Abajo;2
635 ;02142;Nava De Arriba;2
636 ;02150;Valdeganga;2
637 ;02151;Casas De Juan NuÑez;2
638 ;02152;Alatoz;2
639 ;02153;Carcelen;2
640 ;02153;Casas De Juan Gil;2
641 ;02154;Pozo-lorente;2
642 ;02154;Villavaliente;2
643 ;02155;Tinajeros;2
644 ;02156;"Felipa, La";2
645 ;02160;Lezuza;2
646 ;02161;Tiriez;2
647 ;02161;"Yunquera, La";2
648 ;02162;"Cuartico, El";2
649 ;02162;"Herrera, La";2
650 ;02162;Oncebreros (la Herrera);2
651 ;02200;Casas-ibaÑez;2
652 ;02210;Alcala Del Jucar;2
653 ;02211;Casas Del Cerro;2
654 ;02211;"Gila, La";2
655 ;02211;Tolosa;2
656 ;02212;Casas De Ves;2
657 ;02213;"Pared, La";2
658 ;02213;Villa De Ves;2
659 ;02214;Balsa De Ves;2
660 ;02214;Cantoblanco;2
661 ;02214;"Eras, Las";2
662 ;02214;"Viso, El";2
663 ;02214;Zulema;2
664 ;02215;Alborea;2
665 ;02215;Cilanco;2
666 ;02215;Villatoya;2
667 ;02220;Motilleja;2
668 ;02230;Madrigueras;2
669 ;02240;Mahora;2
670 ;02246;Navas De Jorquera;2
671 ;02247;Cenizate;2
672 ;02248;Jorquera;2
673 ;02249;Alcozarejos;2
674 ;02249;Bormate;2
675 ;02249;Calzada De Vergara;2
676 ;02249;Maldonado;2
677 ;02249;"Recueja, La";2
678 ;02249;Ribera De Cubas;2
679 ;02250;Abengibre;2
680 ;02251;Campoalbillo;2
681 ;02252;Mariminguez;2
682 ;02253;Golosalvo;2
683 ;02260;Fuentealbilla;2
684 ;02270;Villamalea;2
685 ;02300;Alcaraz;2
686 ;02310;Viveros;2
687 ;02311;Povedilla;2
688 ;02312;Canaleja;2
689 ;02312;"Mesta De Alcaraz, La";2
690 ;02313;PeÑascosa;2
691 ;02314;Cilleruelo;2
692 ;02314;"Horcajo, El";2
693 ;02314;"Hoz, La";2
694 ;02314;Ituero;2
695 ;02314;Masegoso;2
696 ;02314;Pesebre;2
697 ;02314;PeÑarrubia De Masegoso;2
698 ;02314;Solanilla;2
699 ;02314;Zorio;2
700 ;02315;Vianos;2
701 ;02316;Reolid;2
702 ;02316;Salobre;2
703 ;02320;Balazote;2
704 ;02326;Casas De Abajo;2
705 ;02326;CaÑada Juncosa;2
706 ;02326;San Pedro;2
707 ;02327;Argamason;2
708 ;02327;Casica Del MadroÑo;2
709 ;02327;Pozuelo;2
710 ;02327;"Zarza, La";2
711 ;02328;Santa Ana;2
712 ;02329;Casas De Lazaro;2
713 ;02329;Cucharal;2
714 ;02340;"Chospes, Los";2
715 ;02340;Cubillo;2
716 ;02340;"Jardin, El";2
717 ;02340;Robledo;2
718 ;02350;Villapalacios;2
719 ;02360;Bienservida;2
720 ;02400;Hellin;2
721 ;02409;Agra;2
722 ;02409;CaÑada De Agra;2
723 ;02409;Mingogil;2
724 ;02409;Nava CampaÑa;2
725 ;02410;Lietor;2
726 ;02420;Isso;2
727 ;02430;Elche De La Sierra;2
728 ;02434;Letur;2
729 ;02435;Socovos;2
730 ;02436;Ferez;2
731 ;02437;CaÑada De Buendia;2
732 ;02437;"CaÑar, El";2
733 ;02437;"Olmos, Los";2
734 ;02437;Tazona;2
735 ;02439;Abejuela;2
736 ;02439;Gallego;2
737 ;02439;Vicorto;2
738 ;02439;Villares;2
739 ;02440;Molinicos;2
740 ;02448;"Alejos, Los";2
741 ;02448;"Alfera, La";2
742 ;02448;"Animas, Las";2
743 ;02448;CaÑada Del Provencio;2
744 ;02448;Pinilla (vegallera);2
745 ;02448;Quejigal;2
746 ;02448;Vegallera;2
747 ;02448;"Yeguarizas, Las";2
748 ;02449;CaÑada De Morote;2
749 ;02449;"Collados, Los";2
750 ;02449;Fuente Carrasca;2
751 ;02449;Fuente Higuera;2
